case,family,source,method,orientation_metric,path,duration,ratio,rho,run,samples,embedded_samples,dimension,delay,target_recurrence_rate,theiler,epsilon,rr,det,lam,mean_diag,max_diag,max_diag_fraction,divergence,mean_vertical,max_vertical,diag_entropy,spectral_entropy,dominant_power_fraction,top5_power_fraction,neighbor_divergence_slope,neighbor_divergence_r2,neighbor_divergence_gain,neighbor_initial_distance,chaos_score,broadband_chaos_score,class,behaviour_family
ratio1_rho4_run01,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run01\single_body_complete.dat,99.99999999999646,1.0,4.0,1,2001.0,1981.0,3.0,10.0,0.03,50.0,1.0463603949037015,0.030000295157010113,0.9997137899576052,0.9997942865320287,35.016917293233085,603.0,0.3043917213528521,0.001658374792703151,18.485695386141888,34.0,4.304344826783853,0.20024010886666946,0.45166662354713016,0.9767522877115482,0.15150027763011173,0.9764426569126745,0.5382165384105724,0.5630620432652099,0.20754119787882075,0.13567323611269597,quasi-periodic,regular
ratio1_rho4_run02,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run02\single_body_complete.dat,99.99999999999646,1.0,4.0,2,2001.0,1981.0,3.0,10.0,0.03,50.0,0.9372267635359486,0.030000295157010113,0.9999284474894012,0.9991413698728154,58.71743697478992,182.0,0.09187279151943463,0.005494505494505495,9.9598787446505,16.0,4.792842525642903,0.20031561928924974,0.49982307147616317,0.9506373891984135,0.37244395833164096,0.9260440684162964,1.3265124152842969,0.24749319803907127,0.5524458836094659,0.3352755271133984,sensitive-regular,regular
ratio1_rho4_run03,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run03\single_body_complete.dat,99.99999999999646,1.0,4.0,3,2001.0,1981.0,3.0,10.0,0.03,50.0,1.4408219387478896,0.030000295157010113,0.9998568949788026,0.9997406221490797,44.50238853503185,1860.0,0.93891973750631,0.0005376344086021505,14.484514707788,20.0,3.8672906645869602,0.1728993901288488,0.4324073772045761,0.9974622764679121,0.05883164182443342,0.70394323083638,0.19403381271408643,0.49216018014832474,0.11169170768502491,0.11002688462744921,periodic,periodic
ratio1_rho4_run04,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run04\single_body_complete.dat,99.99999999999646,1.0,4.0,4,2001.0,1981.0,3.0,10.0,0.03,50.0,1.0489165257618003,0.030000295157010113,0.999892671234102,0.9994275799152103,38.443603851444294,154.0,0.07773851590106007,0.006493506493506494,11.135226706527154,18.0,4.468238585667702,0.1889267004306357,0.4249900967465238,0.9696265399367157,0.39432937547662616,0.9386200173077376,1.4636247251378125,0.3321769124380047,0.5505705149769057,0.3208174455712903,sensitive-regular,regular
ratio1_rho4_run05,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio1_rho4_run05\single_body_complete.dat,99.99999999999646,1.0,4.0,5,2001.0,1981.0,3.0,10.0,0.03,50.0,0.740718196231974,0.030000295157010113,0.9998568949788026,0.9989714326601434,40.680494905385736,224.0,0.11307420494699646,0.004464285714285714,9.38974358974359,15.0,4.520494724913518,0.146251921849373,0.6441386462210501,0.9915671966402904,0.31301962085181395,0.9314262922723331,1.2215645252409344,0.23015677103467772,0.4901083120891392,0.2488409006907403,complex-regular,regular
ratio20_rho0p25_run01,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run01\single_body_complete.dat,99.99999999999646,20.0,0.25,1,2001.0,1981.0,3.0,10.0,0.03,50.0,1.0206820938820267,0.030000295157010113,0.9992129223834141,0.9987299429368728,23.62901861252115,449.0,0.22665320545179202,0.0022271714922048997,9.229192495247542,22.0,3.946840301029737,0.20244158324026945,0.5965670051939538,0.9498787519278472,0.14413039931895313,0.4967402642731096,0.5111762579803798,0.4317199946342198,0.29209552122909777,0.22507003892431574,quasi-periodic,regular
ratio20_rho0p25_run02,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run02\single_body_complete.dat,99.99999999999646,20.0,0.25,2,2001.0,1981.0,3.0,10.0,0.03,50.0,1.3632039778720155,0.030000295157010113,0.9990877054898664,0.9981754109797327,20.41374269005848,169.0,0.08531044926804644,0.005917159763313609,8.573557655373742,29.0,3.8556900966391683,0.3475543022924586,0.25414094699635303,0.7551552652251152,0.3786145266951078,0.9466522849287338,1.414214416455199,0.5481848390264707,0.7347258926180597,0.6299236133588348,chaotic-like,chaotic-candidate
ratio20_rho0p25_run03,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run03\single_body_complete.dat,99.99999999999646,20.0,0.25,3,2001.0,1981.0,3.0,10.0,0.03,50.0,1.4413372943982132,0.030000295157010113,0.9992308105110638,0.9974241096184462,20.992108229988727,215.0,0.10853104492680464,0.004651162790697674,8.06465143187735,72.0,3.908796746817916,0.5622448941882249,0.06560884284663476,0.2728761945244445,0.4199434177396665,0.912264190301245,1.6493058423418439,0.5373949430572972,0.8914689550731953,0.9095574625609961,chaotic-like,chaotic-candidate
ratio20_rho0p25_run04,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run04\single_body_complete.dat,99.99999999999646,20.0,0.25,4,2001.0,1981.0,3.0,10.0,0.03,50.0,1.8652555202211445,0.030000295157010113,0.9979070890649876,0.9974151655546214,14.249297573435504,118.0,0.05956587582029278,0.00847457627118644,7.916305813870945,44.0,3.4996990489191857,0.5353603395839635,0.11111877656269546,0.3337910951565818,0.35771210762557915,0.8980092905142569,1.4211634674689662,0.8570542335662229,0.9351106113011485,0.9410456226122781,chaotic-like,chaotic-candidate
ratio20_rho0p25_run05,triaxial_1_0p8_0p6,triaxial_nd2,impulse_nd2,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd2\ratio20_rho0p25_run05\single_body_complete.dat,99.99999999999646,20.0,0.25,5,2001.0,1981.0,3.0,10.0,0.03,50.0,0.8719785252845621,0.030000295157010113,0.9865481280074415,0.9953133105557841,7.473035230352304,388.0,0.19586067642604746,0.002577319587628866,8.110341811821296,42.0,2.2566511095294617,0.2093270158911586,0.43206428614999814,0.9311584509090619,0.2766712004597448,0.9724266367387658,0.8605506949876011,0.31326367494073803,0.4382998763539336,0.27383241975754485,chaotic-like,chaotic-candidate
ratio1_rho4_run01,triaxial_1_0p8_0p6,triaxial_nd3,impulse_nd3,marker,C:\Users\User\Documents\multi_ellip\studies\ke_ratio_density\runs_impulse_nd3\ratio1_rho4_run01\single_body_complete.dat,99.99999999999646,1.0,4.0,1,2001.0,1981.0,3.0,10.0,0.03,50.0,1.046580032039857,0.030000295157010113,0.9997137899576052,0.9997942865320287,34.86400499064254,601.0,0.3033821302372539,0.0016638935108153079,18.37025472473295,35.0,4.3215610740748955,0.20091648281087693,0.44947003319394047,0.9768008959858769,0.155359491151958,0.9734171001028692,0.5512199172933119,0.5554966044856235,0.21098671651809234,0.13605504762104473,quasi-periodic,regular
