name,shape_name,rho,energy_ratio,separation,repeat,status,class_body1,class_body2,class_combined,class_consensus,body1_recurrence_rate,body1_recurrence_epsilon,body1_determinism,body1_lmax_fraction,body1_mean_diag,body1_diag_entropy,body1_nearest_distance,body1_return_cv,body1_divergence_slope,body1_divergence_gain,body1_spectral_entropy,body1_peak_fraction,body1_dominant_fraction,body1_harmonicity,body1_class,body2_recurrence_rate,body2_recurrence_epsilon,body2_determinism,body2_lmax_fraction,body2_mean_diag,body2_diag_entropy,body2_nearest_distance,body2_return_cv,body2_divergence_slope,body2_divergence_gain,body2_spectral_entropy,body2_peak_fraction,body2_dominant_fraction,body2_harmonicity,body2_class,combined_recurrence_rate,combined_recurrence_epsilon,combined_determinism,combined_lmax_fraction,combined_mean_diag,combined_diag_entropy,combined_nearest_distance,combined_return_cv,combined_divergence_slope,combined_divergence_gain,combined_spectral_entropy,combined_peak_fraction,combined_dominant_fraction,combined_harmonicity,combined_class
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01,spheroid_1_0p7_0p7,1.0,0.25,3.0,1,ok,periodic,periodic,periodic,periodic,0.030000295157010113,1.8412621322126648,0.9868880024327854,0.767794043412418,83.21266968325791,3.377394294764557,0.5399701874659532,0.10678099926261564,-0.0009414985011451701,0.0,0.2050433154804122,0.9968995950314469,0.5824943341788109,0.9999999999999998,periodic,0.030000295157010113,2.027628669545302,0.9921113357064916,0.40585562847046946,46.64592094196804,4.251774973034371,0.5046654593497355,0.6617538297478511,0.011202059868990451,0.1952927886301669,0.3415373704557539,0.8914401895410996,0.38797962430058885,1.0,periodic,0.030000295157010113,3.6632742837900127,0.9850991896678175,0.5830388692579506,48.349429323968394,3.6152618574266913,1.3695260213944518,0.31515624119518,0.0019554974506678386,0.05797103249253065,0.3543251243734479,0.8976495449899959,0.35254853810087816,0.9999999999999999,periodic
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02,spheroid_1_0p7_0p7,1.0,0.25,3.0,2,ok,quasi-periodic,quasi-periodic,ambiguous,quasi-periodic,0.030000295157010113,2.1449726238695117,0.9789098975010285,0.33064109035840483,37.37978142076503,3.1155768526561527,0.3583256637243062,0.5322914407071634,0.010745703534367112,0.18901052317504996,0.34113423966849254,0.943562916910243,0.27592345890646824,1.0,quasi-periodic,0.030000295157010113,2.0853746087785043,0.9430799778187217,0.3099444724886421,23.37960088691796,2.4347444046296465,0.2987805627058646,0.5329390221160706,0.01576370084623543,0.2680603111612536,0.3480445757642783,0.9391725429302025,0.24510024425912946,1.0,quasi-periodic,0.030000295157010113,4.466802644590184,0.6631128919735971,0.3735487127713276,9.77584388185654,1.7996133816751017,2.8110281398147654,0.19127525849949134,0.0021607098323677197,0.16297806592093786,0.3224764748396086,0.8847923384898143,0.48122505397841064,1.0000000000000002,ambiguous
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01,spheroid_1_0p7_0p7,1.0,0.25,8.0,1,ok,periodic,periodic,periodic,periodic,0.030000295157010113,1.8679459194012276,0.9721124089941506,0.679454820797577,53.69960474308301,2.8051598765064045,0.24704967376735285,0.4438143784311519,0.0034623257400500174,0.06122458027155175,0.2460221317893421,0.9939726753810219,0.46500425460833844,1.0000000000000002,periodic,0.030000295157010113,2.1553687373506207,0.9940074772373576,0.6592629984856133,88.2031746031746,4.292831507033069,0.42151844266738575,1.0307347326797494,0.0006501245721675748,0.015677377336649208,0.1855079582974489,0.9918489787691651,0.6738987932380053,0.9999999999999999,periodic,0.030000295157010113,4.3505225341643685,0.9528826717707457,0.8929833417465927,28.95054347826087,2.4580214943909056,2.32298242748165,0.8863491375364897,-0.00030605020102239153,0.014643631561491306,0.3234938817273007,0.9560341904669102,0.30332242639803386,1.0,periodic
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02,spheroid_1_0p7_0p7,1.0,0.25,8.0,2,ok,periodic,chaotic,ambiguous,mixed,0.030000295157010113,1.508801773946264,0.9521313704094593,0.6340232205956587,27.3099025141098,2.894503617132193,0.27952232398173205,0.6554131222486843,0.009008615038287692,0.15254882219476962,0.24449608187125024,0.9751324319613907,0.44022396671555386,0.9999999999999998,periodic,0.030000295157010113,2.3491101782872192,0.9440638248394541,0.4336193841494195,19.33186813186813,2.7913771700611063,0.3847226200293236,0.41812101744024344,0.020312812566761707,0.3560455616314986,0.3417172081955287,0.9457284754392046,0.2447345840352417,0.9999999999999999,chaotic,0.030000295157010113,3.9976786561575484,0.7626424342164105,0.6749116607773852,8.320452771272443,1.736524121399756,2.5144489629648916,0.6642122197752257,0.005713953722025098,0.16560386445713063,0.3827679129890017,0.8953015121286808,0.19917627575806265,1.0000000000000002,ambiguous
spheroid_1_0p7_0p7_rho1_E4_sep3_run01,spheroid_1_0p7_0p7,1.0,4.0,3.0,1,ok,periodic,periodic,periodic,periodic,0.030000295157010113,2.2008502883804537,0.9712358907393163,0.9202423018677436,39.20216606498195,2.740273048246281,0.7249622794088397,1.927685086887808,0.000913607241122749,0.026876270304852644,0.18978227429778127,0.9998656971178881,0.6122705737895331,1.0000000000000002,periodic,0.030000295157010113,2.225410286604296,0.990197306047976,0.839979808177688,60.16847826086956,3.764008130327582,0.3918514275280003,0.19337508176945767,0.018055583060473168,0.2995015364967518,0.2770741859242763,0.9980822048897355,0.26928016674412164,1.0000000000000002,periodic,0.030000295157010113,3.8040295893430693,0.9566749548324777,0.9071176173649672,29.272577996715928,2.4701027341534822,1.2300699056857667,0.1452084505461032,0.0014516050156121497,0.041996338040878226,0.32172782273905287,0.9697850299194959,0.2874329692772802,1.0,periodic
spheroid_1_0p7_0p7_rho1_E4_sep3_run02,spheroid_1_0p7_0p7,1.0,4.0,3.0,2,ok,periodic,periodic,periodic,periodic,0.030000295157010113,1.6625689303353404,0.9652970323596229,0.9288238263503281,30.16377864728899,2.415934934457881,0.4954097362635083,0.0963699911518362,-0.0006194933219046489,0.027402296091013533,0.17075773545607828,0.9998246941614446,0.5230027963697633,1.0,periodic,0.030000295157010113,1.9423326692724328,0.9944367923009498,0.9722362443210499,78.18846694796062,3.152467081719355,0.41173241599909527,0.8608794679393785,0.0010254168277332779,0.016478211635839863,0.1670042178040179,0.9999733042792218,0.6161074440201271,1.0000000000000002,periodic,0.030000295157010113,3.9168493523259396,0.9751891669498953,0.9565875820292782,46.00506329113924,2.5120775005360954,1.837648708006583,0.09513945825021622,0.00017821285164741705,0.004910141040604468,0.20136360837065406,0.9989846158342808,0.5867293866677868,1.0,periodic
spheroid_1_0p7_0p7_rho1_E4_sep8_run01,spheroid_1_0p7_0p7,1.0,4.0,8.0,1,ok,periodic,periodic,periodic,periodic,0.030000295157010113,1.3587253096433656,0.9978176484267391,0.801110550227158,119.19017094017094,3.671809519968981,0.29001861073313534,0.12577818158150667,0.0008343345420542102,0.019865980197338567,0.1670925416000723,0.9961637733243195,0.5765606863919994,0.9999999999999999,periodic,0.030000295157010113,0.8915688873105172,0.9704845893780298,0.7965673902069662,63.45380116959064,1.8310954895612217,0.12282046219146438,0.25301754286014216,0.0004681656763108908,0.010316627832796346,0.16788091220137008,0.9974216636666791,0.5852742397510856,1.0000000000000002,periodic,0.030000295157010113,3.539033920840312,0.973704452354972,0.822816759212519,55.149949341438706,2.810504269061115,1.2003104966189284,0.2618359692013469,0.0003766543766911045,0.013433422801567105,0.2676647717243668,0.9940748174587068,0.23431941472281068,1.0,periodic
spheroid_1_0p7_0p7_rho1_E4_sep8_run02,spheroid_1_0p7_0p7,1.0,4.0,8.0,2,ok,periodic,periodic,periodic,periodic,0.030000295157010113,1.7357243943715666,0.9765307765236213,0.9687026754164564,38.28260869565217,2.4208549866035036,0.4879824570098477,0.05422064604394455,-0.0004760901469337193,0.015151402116891005,0.1935092498793301,0.9996377450551746,0.44105372739591153,1.0,periodic,0.030000295157010113,2.019652601173347,0.9689819866554568,0.9692074709742554,35.38145003265839,2.1439169883843228,0.5748243186897473,0.026131483519128654,0.0004995255699139958,0.015421342941148558,0.17693082760078394,0.9999495842533972,0.6113934250028337,1.0000000000000002,periodic,0.030000295157010113,3.4323077825665496,0.9700016099314884,0.9697122665320546,49.977880184331795,2.1893135666984076,1.342326198748506,0.0,-4.01841879576766e-05,0.004335767378617187,0.2632167591471326,0.999730737302062,0.3979904867128869,1.0000000000000002,periodic
spheroid_1_0p7_0p7_rho1_E16_sep3_run01,spheroid_1_0p7_0p7,1.0,16.0,3.0,1,ok,periodic,periodic,periodic,periodic,0.030000295157010113,0.9430434711589698,0.9933277283866697,0.6173649671882887,62.88788221970555,3.989900187876423,0.18904316823373318,0.26062704579821394,0.0014150601273082142,0.024252449820701686,0.19787637522720508,0.9998969261033153,0.5132087483442835,1.0,periodic,0.030000295157010113,0.6705447122964734,0.9971200114484017,0.6102978293791015,80.31988472622479,4.730907782141392,0.1224791951301024,0.5413366109270941,0.002109504121736929,0.04374874987220349,0.19548062201023567,0.9999484190488322,0.44825056249895406,0.9999999999999998,periodic,0.030000295157010113,2.4505300294299617,0.9939717009820582,0.9636547198384654,98.52127659574468,2.7834404368442125,0.7066899231429796,0.11723665033358713,-0.00021208319720598183,0.006379842597751475,0.23247855398848957,0.9998548733121315,0.3238476081190557,0.9999999999999998,periodic
spheroid_1_0p7_0p7_rho1_E16_sep3_run02,spheroid_1_0p7_0p7,1.0,16.0,3.0,2,ok,periodic,periodic,periodic,periodic,0.030000295157010113,1.7514780136096915,0.9803767239683022,0.9687026754164564,45.824414715719065,2.1800889762069326,0.4125283331349476,0.0019705207663809577,0.00042249524324887715,0.0063079993010954575,0.16255860823002105,0.9999400296437557,0.5571858175949134,0.9999999999999998,periodic,0.030000295157010113,1.0689646322589996,0.980054737670608,0.9656739020696617,43.208201892744476,2.967971528823728,0.17537216723900123,0.22035743092986654,0.0022947078416394153,0.03465896426698198,0.1754426761507468,0.9998636247148918,0.4710054415040524,1.0,periodic,0.030000295157010113,3.586156012617277,0.9672647264010876,0.8632004038364463,28.104469854469855,2.10916747060251,1.809644306081512,0.09616914851927186,0.0002531374298718307,0.007047270656911861,0.2606804025181146,0.9994690713141426,0.22067434783855353,1.0000000000000002,periodic
